Completeness_bins,Conciseness_bins,cor.mean_bins,cov.mean_bins,eigenvalues.mean_bins,g_mean.mean_bins,h_mean.mean_bins,iq_range.mean_bins,kurtosis.mean_bins,mad.mean_bins,max.mean_bins,mean.mean_bins,median.mean_bins,min.mean_bins,nr_cor_attr_bins,nr_norm_bins,nr_outliers_bins,range.mean_bins,sd.mean_bins,skewness.mean_bins,sparsity.mean_bins,t_mean.mean_bins,var.mean_bins,LabelIssues_bins,ClassImbRatio_bins,OutlierPerc_bins,ClassOverlapPerc_bins,attr_to_inst_bins,inst_to_attr_bins,nr_attr_bins,nr_inst_bins,nr_num_bins,nr_bin_bins,attr_conc.mean_bins,cEntropy_bins,ena_bins,snr.mean_bins,nUnique_bins,attr_ent.mean_bins,File,FeatureAlgo
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,small,agaricus-lepiota.data,chisquare
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,No,No,No,small,small,small,small,small,small,big,small,small,small,small,big,Algerian_forest_fires_dataset_UPDATE.csv,GR
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,big,big,small,small,small,small,appendicitis.csv,chisquare
No,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,Yes,No,No,small,small,small,small,small,small,big,big,small,small,small,small,audit_risk.csv,chisquare
No,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,Yes,small,small,small,small,small,small,big,big,small,small,small,small,audit_trial.csv,GR
No,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,small,Autism-Adult-Data.csv,chisquare
No,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,small,Autism-Child-Data.csv,relief
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,small,Automobile_data.csv,MI
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,No,Yes,Yes,big,small,small,small,small,small,big,big,small,small,small,small,automobileimbalance.csv,fcbf
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,big,balance-scale.data,GR
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,big,balancescaleimbalanced.csv,chisquare
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,big,big,small,small,small,big,bloodtransfusion.data,fcbf
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,yes,Yes,No,Yes,big,small,small,small,small,small,small,big,small,small,small,small,bone-marrow.csv,GR
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,big,Breast Cancer Wisconsin (Diagnostic) data set-5cn10-nc.csv,chisquare
No,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,yes,No,No,Yes,small,small,small,small,small,small,big,big,small,small,small,small,breast-cancer-wisconsin.data,relief
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,Yes,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,small,breastcancercoimbra.csv,MI
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,big,big,small,small,small,small,breastcancerimbalance.csv,relief
Yes,Yes,big,small,big,small,small,small,small,small,big,small,small,small,big,small,small,big,big,small,small,small,big,yes,No,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,big,breastcancerwdbc.data,chisquare
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,No,No,Yes,big,small,small,small,small,small,small,big,small,small,small,big,brestcancerwpbc.data,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,Yes,No,No,small,small,small,small,small,small,small,big,small,small,small,big,bupa.data,MI
No,No,small,big,big,big,big,big,small,big,big,big,big,big,big,small,small,big,big,small,small,big,big,no,No,Yes,Yes,small,small,small,small,small,small,big,big,small,small,small,big,burstheader.csv,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,No,Yes,small,small,small,small,small,small,small,big,small,small,small,small,caesarian.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,car.data,relief
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,no,No,No,No,small,small,big,small,big,small,small,big,small,small,small,small,cargo2000_data_comma.csv,GR
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,Yes,Yes,big,small,small,small,small,small,big,big,small,small,small,small,cervical_behaviour.csv,GR
No,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,No,small,small,small,small,small,small,small,small,small,small,small,small,cervical_risk_factors_cervical_cancer.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,Yes,No,Yes,big,small,small,small,small,small,big,big,small,small,small,small,Chemical Composion of Ceramic.csv,relief
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,No,No,small,small,small,small,small,small,small,big,small,small,small,small,chesskr-vs-kp.data,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,small,ckd-dataset-v2.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,No,Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,big,climate_pop_failures.dat,GR
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,big,column_2C_weka.csv,GR
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,big,column_3C_weka.csv,cfs
No,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,big,small,small,no,Yes,Yes,Yes,small,small,small,small,small,small,big,big,small,small,small,small,congress_house-votes-84.data,relief
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,No,small,big,small,big,small,small,small,big,small,small,small,small,connect-4.data,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,Yes,Yes,Yes,big,small,big,small,big,small,small,big,small,small,small,big,connectionist-bench.data,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,small,contraceptive.data,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,small,contraceptive5cn02.csv,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,small,contraceptivemulticlass.csv,chisquare
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,No,No,small,small,small,small,small,small,small,big,big,small,small,small,creditapprovallimits.data,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,Yes,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,small,Cryotherapy.xlsx,fcbf
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,Yes,No,Yes,small,small,small,small,small,small,small,big,small,small,small,big,data_banknote_authentication.csv,GR
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,small,dermatology.data,chisquare
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,big,small,small,no,Yes,No,Yes,big,small,big,small,big,small,big,big,small,small,small,small,divorce.csv,relief
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,yes,No,No,Yes,small,small,small,small,small,small,big,big,small,big,small,big,Dry_Bean_Dataset.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,Yes,small,small,small,small,small,small,big,big,small,small,small,small,ecoli-0_vs_1.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,No,No,No,small,small,small,small,small,small,big,big,small,small,small,small,ecoli-5cn01-nc.csv,relief
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,No,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,small,ecoli.data,GR
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,ecoli1.csv,GR
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,small,small,small,small,small,ecoli2.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,ecoli3.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,ecoli4.csv,relief
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,big,Electical_stability.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,yes,No,No,Yes,big,small,big,small,big,small,small,big,small,small,small,small,extention of Z-Alizadeh sani dataset.xlsx,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,fertility_Diagnosis.data,GR
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,big,small,small,glass identification imbalance.csv,fcbf
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,big,small,small,glass-0-1-2-3_vs_4-5-6.csv,fcbf
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,small,small,big,small,small,glass-0-1-6_vs_2.csv,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,small,small,big,small,small,glass-0-1-6_vs_5.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,No,Yes,Yes,small,small,small,small,small,small,small,big,small,big,small,small,glass.data,GR
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,big,small,small,glass0.csv,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,big,small,small,glass1.csv,fcbf
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,small,small,big,small,small,glass2.csv,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,No,No,No,small,small,small,small,small,small,small,small,small,big,small,small,glass4.csv,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,small,small,big,small,small,glass5.csv,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,big,small,small,glass5cn10.csv,GR
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,small,small,big,small,small,glass6.csv,GR
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,big,Haberman imbalance.csv,GR
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,big,haberman.data,GR
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,small,Hayes-roth imbalance.csv,MI
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,small,hayes-roth.data,GR
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,No,Yes,big,small,big,small,big,small,small,big,small,small,small,small,hcc-data.data,relief
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,Yes,No,Yes,small,small,small,small,small,small,small,big,small,small,small,big,HCV-Egy-Data.csv,chisquare
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,small,small,small,small,big,hcvdat0.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,small,heart_failure_clinical_records_dataset.csv,MI
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,Yes,Yes,big,small,small,small,small,small,small,big,small,small,small,small,highereducation.csv,GR
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,yes,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,small,horse.csv,GR
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,No,No,No,small,big,small,small,small,small,small,small,small,small,small,big,HTRU_2.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,small,Immunotherapy.xlsx,chisquare
No,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,No,No,No,small,small,small,small,small,small,small,big,small,small,small,big,Indian Liver Patient Dataset (ILPD).csv,GR
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,no,No,No,Yes,small,small,big,small,big,small,small,small,small,small,small,small,insurancedata2000.data,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,Yes,Yes,small,small,small,small,small,small,big,big,small,small,small,big,ionosphere-5cn01-n.csv,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,big,ionosphere.data,chisquare
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,Yes,Yes,Yes,small,small,small,small,small,small,big,big,small,small,small,big,iris.data,GR
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,big,big,small,small,small,big,iris0.csv,relief
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,Yes,Yes,Yes,small,small,small,small,small,small,big,big,small,small,small,big,Iris5cn01nc.csv,relief
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,Yes,No,No,small,big,small,small,small,small,small,big,small,small,big,big,letter-recognition.data,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,Lymphography Multi-class Imbalanced data set.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,lymphography.data,chisquare
No,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,Yes,No,Yes,small,small,small,small,small,small,small,big,small,small,small,small,mammographic_masses.data,fcbf
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,small,monks-1.csv,relief
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,small,monks-2.csv,fcbf
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,small,monks-3.csv,GR
No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,big,small,small,yes,No,No,Yes,small,small,big,small,big,big,small,small,small,small,small,small,myocardical.data,chisquare
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,small,small,small,small,big,new-thyroid1.csv,GR
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,small,small,small,small,small,small,small,big,small,small,small,big,newthyroid.csv,GR
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,small,small,small,small,big,newthyroid2.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,Yes,Yes,small,big,small,small,small,small,small,big,small,small,small,small,nursery.data,GR
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,No,No,small,small,small,small,small,small,small,big,small,small,small,small,ObesityDataSet_raw_and_data_sinthetic.csv,relief
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,yes,No,No,Yes,small,small,small,small,small,small,big,small,small,small,small,big,page-blocks-1-3_vs_4.csv,GR
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,yes,No,No,No,small,small,small,small,small,small,big,small,small,small,small,big,pageblocks_imbalanced.csv,relief
Yes,No,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,yes,No,No,No,small,small,small,small,small,small,small,small,small,small,small,big,pageblocks5cn01-nc.csv,chisquare
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,big,big,small,small,small,big,parkinsons.data,MI
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,No,No,small,small,small,small,small,small,small,big,small,small,small,small,Phishing Websites Data Set.csv,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,small,PhishingData.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,big,Pima-5cn01-nc.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,big,pima.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,big,pimaimbalanced.csv,chisquare
No,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,Yes,small,small,small,small,small,small,small,small,small,small,small,small,post-operative.csv,GR
No,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,No,small,small,small,small,small,small,big,big,small,small,small,small,primary-tumor.data,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,Yes,small,small,small,small,small,small,small,big,small,small,small,small,QSAR biodeg.csv,chisquare
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,yes,Yes,No,Yes,small,small,small,small,small,small,big,big,small,small,small,big,Raisin_Dataset.csv,fcbf
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,small,small,no,Yes,No,Yes,small,small,small,small,small,small,big,big,small,small,small,big,seeds_dataset.data,relief
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,No,No,small,small,small,small,small,small,big,small,small,small,small,small,seismic-bumps.csv,chisquare
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,No,No,small,small,small,small,small,small,small,big,small,small,small,small,SomervilleHappinessSurvey2015.csv,fcbf
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,yes,Yes,Yes,Yes,big,small,big,small,big,small,small,big,small,small,small,big,sonar5cn19.csv,chisquare
Yes,Yes,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,No,Yes,Yes,big,small,small,small,small,small,big,big,small,small,small,small,soybean-small.data,relief
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,small,small,small,small,yes,Yes,No,No,small,small,big,small,big,small,small,big,small,small,small,small,spambase.data,GR
Yes,No,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,big,small,small,no,Yes,Yes,Yes,small,small,small,small,small,small,small,big,small,small,small,small,SPECT.csv,GR
Yes,Yes,big,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,no,No,No,No,big,small,small,small,small,small,small,big,small,small,small,big,SPECTF.csv,chisquare
