File,Alpha,Beta,FeatureAlgo
Turkish_music.csv,0.04,0.1,relieff
vehicle0.csv,0.04,0.1,fcbf
vehicle1.csv,0.04,0.1,fcbf
vehicle2.csv,0.04,0.1,fcbf
vehicle3.csv,0.04,0.1,fcbf
Wholesale customers data.csv,0.04,0.1,fcbf
wine imbalance.csv,0.04,0.1,GR
wine.data,0.04,0.1,GR
wine5cn10-nc.csv,0.04,0.1,fcbf
winequality-red.csv,0.04,0.1,relief
winequality-white.csv,0.04,0.1,relieff
yeast-0-5-6-7-9_vs_4.csv,0.04,0.1,GR
yeast-1_vs_7.csv,0.04,0.1,relief
yeast-2_vs_4.csv,0.04,0.1,fcbf
yeast-2_vs_8.csv,0.04,0.1,GR
yeast.data,0.04,0.1,MI
yeast1.csv,0.04,0.1,GR
yeast3.csv,0.04,0.1,relief
yeast4.csv,0.04,0.1,relief
yeast5.csv,0.04,0.1,fcbf
yeast5cn21.csv,0.04,0.1,cfs
yeast6.csv,0.04,0.1,relief
yeastimbalance.csv,0.04,0.1,cfs
zoo.data,0.04,0.1,MI
chronic_kidney_disease_full.csv,0.02,0.06,GR
Autism-Adolescent-Data.csv,0.02,0.06,GR
SouthGermanCredit.asc,0.02,0.06,fcbf
Z-Alizadeh sani dataset.xlsx,0.02,0.06,GR
Data_User_Modeling_Dataset_Hamdi Tolga KAHRAMAN.csv,0.02,0.06,relieff
non-verbal tourist data.csv,0.02,0.06,chisquare
1year.csv,0.02,0.06,GR
2year.csv,0.02,0.06,fcbf
3year.csv,0.02,0.06,GR
4year.csv,0.02,0.06,fcbf
5year.csv,0.02,0.06,fcbf
abalone.data,0.02,0.06,chisquare
abalone9-18.csv,0.02,0.06,GR
adult.csv,0.02,0.06,MI
agaricus-lepiota.data,0.02,0.06,relieff
Algerian_forest_fires_dataset_UPDATE.csv,0.02,0.06,GR
appendicitis.csv,0.02,0.06,GR
audit_risk.csv,0.02,0.06,relief
audit_trial.csv,0.02,0.06,GR
Autism-Adult-Data.csv,0.02,0.06,GR
Autism-Child-Data.csv,0.02,0.06,GR
Automobile_data.csv,0.02,0.06,fcbf
automobileimbalance.csv,0.02,0.06,MI
balance-scale.data,0.02,0.06,chisquare
balancescaleimbalanced.csv,0.02,0.06,chisquare
bloodtransfusion.data,0.02,0.06,relief
bone-marrow.csv,0.02,0.06,GR
Breast Cancer Wisconsin (Diagnostic) data set-5cn10-nc.csv,0.02,0.06,GR
breast-cancer-wisconsin.data,0.02,0.06,chisquare
breastcancercoimbra.csv,0.02,0.06,MI
breastcancerimbalance.csv,0.02,0.06,fcbf
breastcancerwdbc.data,0.02,0.06,GR
brestcancerwpbc.data,0.02,0.06,fcbf
bupa.data,0.02,0.06,relieff
burstheader.csv,0.02,0.06,GR
caesarian.csv,0.02,0.06,chisquare
car.data,0.02,0.06,chisquare
cargo2000_data_comma.csv,0.02,0.06,GR
cervical_behaviour.csv,0.02,0.06,fcbf
cervical_risk_factors_cervical_cancer.csv,0.02,0.06,relieff
Chemical Composion of Ceramic.csv,0.02,0.06,GR
chesskr-vs-kp.data,0.02,0.06,chisquare
ckd-dataset-v2.csv,0.02,0.06,mrmr
climate_pop_failures.dat,0.02,0.06,GR
column_2C_weka.csv,0.02,0.06,GR
column_3C_weka.csv,0.02,0.06,GR
congress_house-votes-84.data,0.02,0.06,relief
connect-4.data,0.02,0.06,chisquare
connectionist-bench.data,0.02,0.06,relief
contraceptive.data,0.02,0.06,chisquare
contraceptive5cn02.csv,0.02,0.06,relief
contraceptivemulticlass.csv,0.02,0.06,relief
creditapprovallimits.data,0.02,0.06,relieff
Cryotherapy.xlsx,0.02,0.06,fcbf
data_banknote_authentication.csv,0.02,0.06,GR
dermatology.data,0.02,0.06,cfs
divorce.csv,0.02,0.06,chisquare
Dry_Bean_Dataset.csv,0.02,0.06,GR
ecoli-0_vs_1.csv,0.02,0.06,relief
ecoli-5cn01-nc.csv,0.02,0.06,relief
ecoli.data,0.02,0.06,MI
ecoli1.csv,0.02,0.06,relief
ecoli2.csv,0.02,0.06,relief
ecoli3.csv,0.02,0.06,relief
ecoli4.csv,0.02,0.06,relief
Electical_stability.csv,0.02,0.06,fcbf
extention of Z-Alizadeh sani dataset.xlsx,0.02,0.06,MI
fertility_Diagnosis.data,0.02,0.06,relief
glass identification imbalance.csv,0.02,0.06,relieff
glass-0-1-2-3_vs_4-5-6.csv,0.02,0.06,GR
glass-0-1-6_vs_2.csv,0.02,0.06,GR
glass-0-1-6_vs_5.csv,0.02,0.06,chisquare
glass.data,0.02,0.06,GR
glass0.csv,0.02,0.06,MI
glass1.csv,0.02,0.06,relief
glass2.csv,0.02,0.06,GR
glass4.csv,0.02,0.06,GR
glass5.csv,0.02,0.06,chisquare
glass5cn10.csv,0.02,0.06,GR
glass6.csv,0.02,0.06,GR
Haberman imbalance.csv,0.02,0.06,GR
haberman.data,0.02,0.06,GR
Hayes-roth imbalance.csv,0.02,0.06,GR
hayes-roth.data,0.02,0.06,GR
hcc-data.data,0.02,0.06,MI
HCV-Egy-Data.csv,0.02,0.06,fcbf
hcvdat0.csv,0.02,0.06,GR
heart_failure_clinical_records_dataset.csv,0.02,0.06,MI
highereducation.csv,0.02,0.06,relief
horse.csv,0.02,0.06,MI
HTRU_2.csv,0.02,0.06,GR
Immunotherapy.xlsx,0.02,0.06,fcbf
Indian Liver Patient Dataset (ILPD).csv,0.02,0.06,fcbf
insurancedata2000.data,0.02,0.06,relief
ionosphere-5cn01-n.csv,0.02,0.06,relief
ionosphere.data,0.02,0.06,MI
iris.data,0.02,0.06,GR
iris0.csv,0.02,0.06,GR
Iris5cn01nc.csv,0.02,0.06,GR
letter-recognition.data,0.02,0.06,relief
Lymphography Multi-class Imbalanced data set.csv,0.02,0.06,cfs
lymphography.data,0.02,0.06,GR
mammographic_masses.data,0.02,0.06,GR
monks-1.csv,0.02,0.06,relieff
monks-2.csv,0.02,0.06,GR
monks-3.csv,0.02,0.06,GR
myocardical.data,0.02,0.06,MI
new-thyroid1.csv,0.02,0.06,GR
newthyroid.csv,0.02,0.06,relief
newthyroid2.csv,0.02,0.06,GR
nursery.data,0.02,0.06,relief
ObesityDataSet_raw_and_data_sinthetic.csv,0.02,0.06,cfs
page-blocks-1-3_vs_4.csv,0.02,0.06,GR
pageblocks_imbalanced.csv,0.02,0.06,GR
pageblocks5cn01-nc.csv,0.02,0.06,GR
parkinsons.data,0.02,0.06,relieff
Phishing Websites Data Set.csv,0.02,0.06,relief
PhishingData.csv,0.02,0.06,relief
Pima-5cn01-nc.csv,0.02,0.06,fcbf
pima.csv,0.02,0.06,relief
pimaimbalanced.csv,0.02,0.06,GR
post-operative.csv,0.02,0.06,relief
primary-tumor.data,0.02,0.06,cfs
QSAR biodeg.csv,0.02,0.06,relief
Raisin_Dataset.csv,0.02,0.06,GR
seeds_dataset.data,0.02,0.06,MI
seismic-bumps.csv,0.02,0.06,fcbf
SomervilleHappinessSurvey2015.csv,0.02,0.06,MI
sonar5cn19.csv,0.02,0.06,relief
soybean-small.data,0.02,0.06,GR
spambase.data,0.02,0.06,relieff
SPECT.csv,0.02,0.06,GR
SPECTF.csv,0.02,0.06,GR
starlog shuttle imbalanced.csv,0.02,0.06,chisquare
starlog vehicle sikhouettes.dat,0.02,0.06,fcbf
starlog_australian.dat,0.02,0.06,MI
statlog_heart.csv,0.02,0.06,cfs
student-mat.csv,0.02,0.06,GR
student-por.csv,0.02,0.06,cfs
tae.data,0.02,0.06,MI
ThoraricSurgery.csv,0.02,0.06,chisquare
"Thyroid Disease (New Thyroid) Multi-class Imbalanced data set
.csv",0.02,0.06,cfs
thyroid multiclass imbalance.csv,0.02,0.06,chisquare
thyroid.csv,0.02,0.06,chisquare
thyroid5cn21.csv,0.02,0.06,relief
tic-tac-toe.data,0.02,0.06,relieff
titanic.csv,0.02,0.06,relief
trial.csv,0.02,0.06,GR
TUANDROMD.csv,0.02,0.06,relief
Turkish_music.csv,0.02,0.06,relieff
vehicle0.csv,0.02,0.06,relieff
vehicle1.csv,0.02,0.06,relieff
vehicle2.csv,0.02,0.06,fcbf
vehicle3.csv,0.02,0.06,relieff
Wholesale customers data.csv,0.02,0.06,chisquare
wine imbalance.csv,0.02,0.06,GR
wine.data,0.02,0.06,GR
wine5cn10-nc.csv,0.02,0.06,fcbf
winequality-red.csv,0.02,0.06,relief
winequality-white.csv,0.02,0.06,relieff
yeast-0-5-6-7-9_vs_4.csv,0.02,0.06,GR
yeast-1_vs_7.csv,0.02,0.06,relief
yeast-2_vs_4.csv,0.02,0.06,fcbf
yeast-2_vs_8.csv,0.02,0.06,GR
yeast.data,0.02,0.06,relieff
yeast1.csv,0.02,0.06,GR
yeast3.csv,0.02,0.06,relief
yeast4.csv,0.02,0.06,relief
yeast5.csv,0.02,0.06,fcbf
yeast5cn21.csv,0.02,0.06,cfs
yeast6.csv,0.02,0.06,relief
yeastimbalance.csv,0.02,0.06,cfs
zoo.data,0.02,0.06,MI
chronic_kidney_disease_full.csv,0.1,0.02,GR
Autism-Adolescent-Data.csv,0.1,0.02,GR
SouthGermanCredit.asc,0.1,0.02,chisquare
Z-Alizadeh sani dataset.xlsx,0.1,0.02,GR
Data_User_Modeling_Dataset_Hamdi Tolga KAHRAMAN.csv,0.1,0.02,GR
non-verbal tourist data.csv,0.1,0.02,chisquare
1year.csv,0.1,0.02,chisquare
2year.csv,0.1,0.02,chisquare
3year.csv,0.1,0.02,chisquare
4year.csv,0.1,0.02,chisquare
5year.csv,0.1,0.02,chisquare
abalone.data,0.1,0.02,chisquare
abalone9-18.csv,0.1,0.02,GR
adult.csv,0.1,0.02,chisquare
agaricus-lepiota.data,0.1,0.02,chisquare
Algerian_forest_fires_dataset_UPDATE.csv,0.1,0.02,GR
appendicitis.csv,0.1,0.02,GR
audit_risk.csv,0.1,0.02,chisquare
audit_trial.csv,0.1,0.02,GR
Autism-Adult-Data.csv,0.1,0.02,chisquare
Autism-Child-Data.csv,0.1,0.02,GR
Automobile_data.csv,0.1,0.02,fcbf
automobileimbalance.csv,0.1,0.02,MI
balance-scale.data,0.1,0.02,chisquare
balancescaleimbalanced.csv,0.1,0.02,chisquare
bloodtransfusion.data,0.1,0.02,fcbf
bone-marrow.csv,0.1,0.02,GR
Breast Cancer Wisconsin (Diagnostic) data set-5cn10-nc.csv,0.1,0.02,chisquare
breast-cancer-wisconsin.data,0.1,0.02,chisquare
breastcancercoimbra.csv,0.1,0.02,MI
breastcancerimbalance.csv,0.1,0.02,fcbf
breastcancerwdbc.data,0.1,0.02,chisquare
brestcancerwpbc.data,0.1,0.02,fcbf
bupa.data,0.1,0.02,MI
burstheader.csv,0.1,0.02,GR
caesarian.csv,0.1,0.02,chisquare
car.data,0.1,0.02,chisquare
cargo2000_data_comma.csv,0.1,0.02,chisquare
cervical_behaviour.csv,0.1,0.02,fcbf
cervical_risk_factors_cervical_cancer.csv,0.1,0.02,chisquare
Chemical Composion of Ceramic.csv,0.1,0.02,GR
chesskr-vs-kp.data,0.1,0.02,chisquare
ckd-dataset-v2.csv,0.1,0.02,chisquare
climate_pop_failures.dat,0.1,0.02,GR
column_2C_weka.csv,0.1,0.02,GR
column_3C_weka.csv,0.1,0.02,GR
congress_house-votes-84.data,0.1,0.02,chisquare
connect-4.data,0.1,0.02,chisquare
connectionist-bench.data,0.1,0.02,chisquare
contraceptive.data,0.1,0.02,chisquare
contraceptive5cn02.csv,0.1,0.02,relief
contraceptivemulticlass.csv,0.1,0.02,relief
creditapprovallimits.data,0.1,0.02,GR
Cryotherapy.xlsx,0.1,0.02,fcbf
data_banknote_authentication.csv,0.1,0.02,GR
dermatology.data,0.1,0.02,relief
divorce.csv,0.1,0.02,chisquare
Dry_Bean_Dataset.csv,0.1,0.02,GR
ecoli-0_vs_1.csv,0.1,0.02,GR
ecoli-5cn01-nc.csv,0.1,0.02,relief
ecoli.data,0.1,0.02,GR
ecoli1.csv,0.1,0.02,GR
ecoli2.csv,0.1,0.02,relief
ecoli3.csv,0.1,0.02,GR
ecoli4.csv,0.1,0.02,GR
Electical_stability.csv,0.1,0.02,fcbf
extention of Z-Alizadeh sani dataset.xlsx,0.1,0.02,chisquare
fertility_Diagnosis.data,0.1,0.02,GR
glass identification imbalance.csv,0.1,0.02,fcbf
glass-0-1-2-3_vs_4-5-6.csv,0.1,0.02,GR
glass-0-1-6_vs_2.csv,0.1,0.02,GR
glass-0-1-6_vs_5.csv,0.1,0.02,chisquare
glass.data,0.1,0.02,GR
glass0.csv,0.1,0.02,MI
glass1.csv,0.1,0.02,relief
glass2.csv,0.1,0.02,chisquare
glass4.csv,0.1,0.02,GR
glass5.csv,0.1,0.02,chisquare
glass5cn10.csv,0.1,0.02,GR
glass6.csv,0.1,0.02,GR
Haberman imbalance.csv,0.1,0.02,GR
haberman.data,0.1,0.02,GR
Hayes-roth imbalance.csv,0.1,0.02,GR
hayes-roth.data,0.1,0.02,GR
hcc-data.data,0.1,0.02,MI
HCV-Egy-Data.csv,0.1,0.02,chisquare
hcvdat0.csv,0.1,0.02,GR
heart_failure_clinical_records_dataset.csv,0.1,0.02,MI
highereducation.csv,0.1,0.02,relief
horse.csv,0.1,0.02,MI
HTRU_2.csv,0.1,0.02,chisquare
Immunotherapy.xlsx,0.1,0.02,GR
Indian Liver Patient Dataset (ILPD).csv,0.1,0.02,fcbf
insurancedata2000.data,0.1,0.02,chisquare
ionosphere-5cn01-n.csv,0.1,0.02,relief
ionosphere.data,0.1,0.02,relief
iris.data,0.1,0.02,GR
iris0.csv,0.1,0.02,GR
Iris5cn01nc.csv,0.1,0.02,GR
letter-recognition.data,0.1,0.02,relief
Lymphography Multi-class Imbalanced data set.csv,0.1,0.02,relief
lymphography.data,0.1,0.02,GR
mammographic_masses.data,0.1,0.02,GR
monks-1.csv,0.1,0.02,fcbf
monks-2.csv,0.1,0.02,chisquare
monks-3.csv,0.1,0.02,GR
myocardical.data,0.1,0.02,chisquare
new-thyroid1.csv,0.1,0.02,GR
newthyroid.csv,0.1,0.02,GR
newthyroid2.csv,0.1,0.02,GR
nursery.data,0.1,0.02,relief
ObesityDataSet_raw_and_data_sinthetic.csv,0.1,0.02,fcbf
page-blocks-1-3_vs_4.csv,0.1,0.02,GR
pageblocks_imbalanced.csv,0.1,0.02,GR
pageblocks5cn01-nc.csv,0.1,0.02,GR
parkinsons.data,0.1,0.02,MI
Phishing Websites Data Set.csv,0.1,0.02,chisquare
PhishingData.csv,0.1,0.02,relief
Pima-5cn01-nc.csv,0.1,0.02,fcbf
pima.csv,0.1,0.02,fcbf
pimaimbalanced.csv,0.1,0.02,GR
post-operative.csv,0.1,0.02,GR
primary-tumor.data,0.1,0.02,relief
QSAR biodeg.csv,0.1,0.02,GR
Raisin_Dataset.csv,0.1,0.02,GR
seeds_dataset.data,0.1,0.02,GR
seismic-bumps.csv,0.1,0.02,chisquare
SomervilleHappinessSurvey2015.csv,0.1,0.02,MI
sonar5cn19.csv,0.1,0.02,relief
soybean-small.data,0.1,0.02,chisquare
spambase.data,0.1,0.02,GR
SPECT.csv,0.1,0.02,GR
SPECTF.csv,0.1,0.02,GR
starlog shuttle imbalanced.csv,0.1,0.02,chisquare
starlog vehicle sikhouettes.dat,0.1,0.02,fcbf
starlog_australian.dat,0.1,0.02,MI
statlog_heart.csv,0.1,0.02,cfs
student-mat.csv,0.1,0.02,GR
student-por.csv,0.1,0.02,chisquare
tae.data,0.1,0.02,MI
ThoraricSurgery.csv,0.1,0.02,chisquare
"Thyroid Disease (New Thyroid) Multi-class Imbalanced data set
.csv",0.1,0.02,GR
thyroid multiclass imbalance.csv,0.1,0.02,chisquare
thyroid.csv,0.1,0.02,chisquare
thyroid5cn21.csv,0.1,0.02,chisquare
tic-tac-toe.data,0.1,0.02,chisquare
titanic.csv,0.1,0.02,relief
trial.csv,0.1,0.02,GR
TUANDROMD.csv,0.1,0.02,chisquare
Turkish_music.csv,0.1,0.02,fcbf
vehicle0.csv,0.1,0.02,fcbf
vehicle1.csv,0.1,0.02,fcbf
vehicle2.csv,0.1,0.02,fcbf
vehicle3.csv,0.1,0.02,fcbf
Wholesale customers data.csv,0.1,0.02,chisquare
wine imbalance.csv,0.1,0.02,GR
wine.data,0.1,0.02,GR
wine5cn10-nc.csv,0.1,0.02,fcbf
winequality-red.csv,0.1,0.02,relief
winequality-white.csv,0.1,0.02,GR
yeast-0-5-6-7-9_vs_4.csv,0.1,0.02,GR
yeast-1_vs_7.csv,0.1,0.02,fcbf
yeast-2_vs_4.csv,0.1,0.02,fcbf
yeast-2_vs_8.csv,0.1,0.02,GR
yeast.data,0.1,0.02,MI
yeast1.csv,0.1,0.02,GR
yeast3.csv,0.1,0.02,chisquare
yeast4.csv,0.1,0.02,chisquare
yeast5.csv,0.1,0.02,fcbf
yeast5cn21.csv,0.1,0.02,relief
yeast6.csv,0.1,0.02,chisquare
yeastimbalance.csv,0.1,0.02,relief
zoo.data,0.1,0.02,MI
chronic_kidney_disease_full.csv,0.02,0.04,GR
Autism-Adolescent-Data.csv,0.02,0.04,GR
SouthGermanCredit.asc,0.02,0.04,fcbf
Z-Alizadeh sani dataset.xlsx,0.02,0.04,GR
Data_User_Modeling_Dataset_Hamdi Tolga KAHRAMAN.csv,0.02,0.04,relieff
non-verbal tourist data.csv,0.02,0.04,chisquare
1year.csv,0.02,0.04,fcbf
2year.csv,0.02,0.04,fcbf
3year.csv,0.02,0.04,GR
4year.csv,0.02,0.04,fcbf
5year.csv,0.02,0.04,fcbf
abalone.data,0.02,0.04,chisquare
abalone9-18.csv,0.02,0.04,GR
adult.csv,0.02,0.04,MI
agaricus-lepiota.data,0.02,0.04,mrmr
Algerian_forest_fires_dataset_UPDATE.csv,0.02,0.04,GR
appendicitis.csv,0.02,0.04,GR
audit_risk.csv,0.02,0.04,relief
audit_trial.csv,0.02,0.04,GR
Autism-Adult-Data.csv,0.02,0.04,GR
Autism-Child-Data.csv,0.02,0.04,GR
Automobile_data.csv,0.02,0.04,fcbf
automobileimbalance.csv,0.02,0.04,MI
balance-scale.data,0.02,0.04,chisquare
balancescaleimbalanced.csv,0.02,0.04,chisquare
bloodtransfusion.data,0.02,0.04,fcbf
bone-marrow.csv,0.02,0.04,GR
Breast Cancer Wisconsin (Diagnostic) data set-5cn10-nc.csv,0.02,0.04,GR
breast-cancer-wisconsin.data,0.02,0.04,chisquare
breastcancercoimbra.csv,0.02,0.04,MI
breastcancerimbalance.csv,0.02,0.04,fcbf
breastcancerwdbc.data,0.02,0.04,chisquare
brestcancerwpbc.data,0.02,0.04,fcbf
bupa.data,0.02,0.04,relieff
burstheader.csv,0.02,0.04,GR
caesarian.csv,0.02,0.04,chisquare
car.data,0.02,0.04,chisquare
cargo2000_data_comma.csv,0.02,0.04,GR
cervical_behaviour.csv,0.02,0.04,fcbf
cervical_risk_factors_cervical_cancer.csv,0.02,0.04,GR
Chemical Composion of Ceramic.csv,0.02,0.04,GR
chesskr-vs-kp.data,0.02,0.04,chisquare
ckd-dataset-v2.csv,0.02,0.04,mrmr
climate_pop_failures.dat,0.02,0.04,GR
column_2C_weka.csv,0.02,0.04,GR
column_3C_weka.csv,0.02,0.04,GR
congress_house-votes-84.data,0.02,0.04,relief
connect-4.data,0.02,0.04,chisquare
connectionist-bench.data,0.02,0.04,relief
contraceptive.data,0.02,0.04,chisquare
contraceptive5cn02.csv,0.02,0.04,relief
contraceptivemulticlass.csv,0.02,0.04,relief
creditapprovallimits.data,0.02,0.04,relieff
Cryotherapy.xlsx,0.02,0.04,fcbf
data_banknote_authentication.csv,0.02,0.04,GR
dermatology.data,0.02,0.04,cfs
divorce.csv,0.02,0.04,chisquare
Dry_Bean_Dataset.csv,0.02,0.04,GR
ecoli-0_vs_1.csv,0.02,0.04,relief
ecoli-5cn01-nc.csv,0.02,0.04,relief
ecoli.data,0.02,0.04,MI
ecoli1.csv,0.02,0.04,relief
ecoli2.csv,0.02,0.04,relief
ecoli3.csv,0.02,0.04,relief
ecoli4.csv,0.02,0.04,relief
Electical_stability.csv,0.02,0.04,fcbf
extention of Z-Alizadeh sani dataset.xlsx,0.02,0.04,MI
fertility_Diagnosis.data,0.02,0.04,relief
glass identification imbalance.csv,0.02,0.04,relieff
glass-0-1-2-3_vs_4-5-6.csv,0.02,0.04,GR
glass-0-1-6_vs_2.csv,0.02,0.04,GR
glass-0-1-6_vs_5.csv,0.02,0.04,chisquare
glass.data,0.02,0.04,GR
glass0.csv,0.02,0.04,MI
glass1.csv,0.02,0.04,relief
glass2.csv,0.02,0.04,chisquare
glass4.csv,0.02,0.04,GR
glass5.csv,0.02,0.04,chisquare
glass5cn10.csv,0.02,0.04,GR
glass6.csv,0.02,0.04,GR
Haberman imbalance.csv,0.02,0.04,GR
haberman.data,0.02,0.04,GR
Hayes-roth imbalance.csv,0.02,0.04,GR
